strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-19T14:45:00.000Z,2025-12-19T15:47:59.999Z,20,0.857125,1.1993,0.7427,85.7125,6.0264,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-19T17:09:00.000Z,2025-12-19T17:35:59.999Z,8,1.260165,1.5140,0.2172,126.0165,5.0135,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-20T02:18:00.000Z,2025-12-20T02:38:59.999Z,6,-1.130721,0.3483,0.6006,-113.0721,29.9302,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-20T05:42:00.000Z,2025-12-20T06:44:59.999Z,20,-0.081497,0.7873,0.2535,-8.1497,26.7371,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-20T07:33:00.000Z,2025-12-20T08:05:59.999Z,10,-1.110479,0.2314,0.6498,-111.0479,25.0580,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-20T08:15:00.000Z,2025-12-20T08:23:59.999Z,2,-1.120583,0.0013,0.8582,-112.0583,27.8219,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-20T09:33:00.000Z,2025-12-20T10:20:59.999Z,15,0.569026,0.8560,0.2548,56.9026,19.4847,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-20T11:03:00.000Z,2025-12-20T11:23:59.999Z,6,0.602057,1.4252,0.2850,60.2057,18.8732,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-20T13:06:00.000Z,2025-12-20T13:08:59.999Z,0,0.576029,2.4424,0.1155,57.6029,19.4334,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-20T15:21:00.000Z,2025-12-20T16:23:59.999Z,20,0.163934,0.7752,0.1994,16.3934,23.3195,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-20T16:39:00.000Z,2025-12-20T17:08:59.999Z,9,0.556348,0.8537,0.2296,55.6348,19.8132,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-20T17:09:00.000Z,2025-12-20T18:11:59.999Z,20,-0.787526,0.6176,0.4865,-78.7526,32.8827,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-20T19:03:00.000Z,2025-12-20T20:05:59.999Z,20,-0.334424,0.6220,0.0474,-33.4424,30.8463,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-20T23:24:00.000Z,2025-12-21T00:26:59.999Z,20,0.182725,0.7259,0.4696,18.2725,28.8695,LATE,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-21T00:36:00.000Z,2025-12-21T01:14:59.999Z,12,-1.150123,0.3667,0.5805,-115.0123,34.2258,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-21T07:39:00.000Z,2025-12-21T07:50:59.999Z,3,-1.185095,0.2377,1.0100,-118.5095,42.7280,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-21T12:03:00.000Z,2025-12-21T12:11:59.999Z,2,-1.139474,0.2515,0.5598,-113.9474,32.2129,LONDON,1
